image_id,tile_id,region_id,area,rad51_count_th0.15,rad51_area_th0.15,rad51_count_th0.2,rad51_area_th0.2,rad51_count_th0.25,rad51_area_th0.25,prob_count_th0.3,prob_area_th0.3,prob_count_th0.365,prob_area_th0.365,prob_count_th0.4,prob_area_th0.4
A1,tile_04,20,260.0,4,0.05773012141212013,2,0.0241660973353061,1,0.01208304866765305,1,0.1933287840623122,1,0.1933287840623122,0,0.0
A1,tile_04,21,1231.0,12,0.0487728076917993,3,0.01417814177087189,1,0.00255206551875694,5,0.10832101556946842,3,0.06039889201606608,3,0.06039889201606608
A1,tile_04,22,1427.0,18,0.05283687714516821,11,0.024216902024868762,4,0.008806146190861367,8,0.17881371779465224,2,0.06482302499301966,0,0.0
A1,tile_04,23,1312.0,17,0.048688300779719876,9,0.023412953380411737,6,0.014367039574343566,6,0.1758632194705126,4,0.07396365375053592,4,0.07396365375053592
A1,tile_04,24,1262.0,8,0.01991500889755812,4,0.00995750444877906,4,0.00995750444877906,4,0.06665996061829871,4,0.06665996061829871,3,0.05974502684386143
A1,tile_04,25,1133.0,12,0.03327370859936233,5,0.013864045249734303,5,0.013864045249734303,6,0.13463529904964006,5,0.1269330448106865,3,0.07455775638859775
A1,tile_04,26,763.0,6,0.024704529386027206,2,0.008234843128675735,1,0.004117421564337868,3,0.03934425264011048,1,0.016469686715662245,1,0.016469686715662245
A1,tile_04,27,1594.0,11,0.025183546296028595,6,0.011825317391178643,5,0.009854431159315537,9,0.09131774519438127,8,0.08584305632817402,7,0.08036836746196675
A1,tile_04,28,152.0,2,0.0574121464471819,0,0.0,0,0.0,1,0.22964861518458315,1,0.22964861518458315,1,0.22964861518458315
A1,tile_04,29,129.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
A1,tile_04,30,1309.0,9,0.02773326848088774,1,0.0023999943877691314,0,0.0,5,0.10533308782497373,1,0.021599949544581682,1,0.021599949544581682
A1,tile_04,31,837.0,9,0.04045327059580644,2,0.007506792481696041,1,0.0037533962408480203,5,0.11093372996705123,3,0.05046233310494372,1,0.02043516006378575
A1,tile_04,32,803.0,1,0.0039123196184181735,1,0.0039123196184181735,1,0.0039123196184181735,1,0.01564927890915354,1,0.01564927890915354,1,0.01564927890915354
A1,tile_04,33,821.0,10,0.04506818531337367,3,0.011479632108123482,0,0.0,3,0.10374185838594797,3,0.10374185838594797,2,0.08843568530065278
A1,tile_04,34,107.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
A1,tile_04,35,140.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
A1,tile_05,1,991.0,14,0.07150390275577172,8,0.03275794559747178,3,0.009510371302491806,6,0.12610048049634207,4,0.06974272819388165,3,0.05706223565803166
A1,tile_05,2,948.0,4,0.013255665205020225,0,0.0,0,0.0,1,0.029825246786769434,0,0.0,0,0.0
A1,tile_05,3,57.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
A1,tile_05,4,517.0,7,0.0425360707449295,6,0.03645948920993957,4,0.024306326139959714,1,0.0816962649789954,1,0.0816962649789954,1,0.0816962649789954
A1,tile_05,5,897.0,11,0.04124969915527289,8,0.03074270031383546,6,0.023738034419543835,3,0.1346452557788113,3,0.1346452557788113,2,0.10312425492200564
A1,tile_05,6,222.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
A1,tile_05,7,983.0,13,0.04900415804175331,8,0.028053104965931237,4,0.015269411563734726,5,0.1001389388029112,4,0.07741236953502512,3,0.06853480450619516
A1,tile_05,8,1273.0,21,0.0581319405220421,13,0.03208225019376851,6,0.014807192397123926,9,0.1428620127927386,4,0.09898882294300496,1,0.009871461872781062
A1,tile_05,9,1799.0,35,0.0642250119410921,22,0.041523119502700025,15,0.02929902357433506,7,0.12379323250058627,2,0.031821460310388364,1,0.012418130956271279
A1,tile_05,10,1210.0,15,0.040964752691437165,11,0.030579322431636188,6,0.015578145389701453,7,0.09491129473221203,5,0.08048708576801394,4,0.0732749812859149
A1,tile_05,11,218.0,6,0.13450243776837034,2,0.06564999938694266,0,0.0,1,0.10247806234097262,0,0.0,0,0.0
A1,tile_05,12,1569.0,28,0.07208243182232797,17,0.04649761805823007,11,0.025584813764097887,8,0.13927039103267905,6,0.10678879571918319,3,0.055841639210571524
